omega_rad_per_s,Magnitude_abs,Magnitude_dB,Phase_deg
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,5.547001962252291474e-01,-5.118833609788743466e+00,-3.369006752597979215e+01
1.000000000000000000e+00,4.385290096535146565e-01,-7.160033436347990943e+00,-3.787498365109821208e+01
2.000000000000000000e+00,3.377779740177616064e-01,-9.427373470340000949e+00,-4.902826366648515233e+01
3.000000000000000000e+00,2.682991535537623817e-01,-1.142761394928280616e+01,-5.803865658302296993e+01
5.000000000000000000e+00,1.826948162980578105e-01,-1.476547549904525525e+01,-6.867973287765664736e+01
1.000000000000000000e+01,9.759464317948350620e-02,-2.021148038876390629e+01,-7.875843628202864011e+01
2.000000000000000000e+01,4.969055277034149787e-02,-2.607452344050741999e+01,-8.429825423774900628e+01
5.000000000000000000e+01,1.998003154514000138e-02,-3.398807660861773172e+01,-8.770996182855554935e+01
1.000000000000000000e+02,9.997500987070820355e-03,-4.000217088631564621e+01,-8.885430874754571562e+01
